sample,phase,onset,apex,offset,upper_lower_corr,left_arm_right_arm,head_torso,left_arm_left_leg,right_arm_right_leg,strongest_pair,strongest_corr
0,full,,,,0.4236,0.8707,0.4425,0.2315,0.3538,left_arm<->right_arm,0.8707
0,action_0,22,29,37,,0.7657,0.2561,0.2619,0.7813,torso<->right_arm,0.8233
0,action_1,55,62,69,,0.9504,0.4566,-0.2047,0.0384,left_arm<->right_arm,0.9504
1,full,,,,0.1734,0.8436,0.9470,0.1481,0.0161,head<->torso,0.9470
1,action_0,10,18,27,,0.9381,0.7000,0.0361,-0.2369,left_arm<->right_arm,0.9381
1,action_1,53,67,80,,0.8055,0.9416,-0.0530,-0.0593,head<->torso,0.9416
2,full,,,,0.1973,0.3968,0.6959,0.1300,0.0413,head<->torso,0.6959
2,action_0,21,30,53,,0.1839,0.6453,-0.1390,-0.0853,head<->torso,0.6453
3,full,,,,0.1668,0.1428,0.8109,-0.0433,0.1993,head<->torso,0.8109
3,action_0,0,0,2,,0.0000,0.0000,0.0000,0.0000,head<->torso,0.0000
3,action_1,14,77,86,,0.2381,0.7955,-0.0123,0.1523,head<->torso,0.7955
4,full,,,,0.3252,0.1890,0.7430,0.2143,0.1773,head<->torso,0.7430
4,action_0,0,0,1,,0.0000,0.0000,0.0000,0.0000,head<->torso,0.0000
4,action_1,21,34,46,,0.2054,0.5817,0.2904,0.0256,head<->torso,0.5817
